Date,10YYSS
11/4/2013,-10.735
11/1/2013,-10.523
10/31/2013,-10.724
10/30/2013,-11.074
10/29/2013,-11.559
10/28/2013,-11.601
10/25/2013,-11.947
10/24/2013,-11.828
10/23/2013,-11.685
10/22/2013,-11.537
10/21/2013,-11.244
10/18/2013,-11.493
10/17/2013,-10.908
10/16/2013,-10.54
10/15/2013,-10.218
10/14/2013,-10.595
10/11/2013,-10.537
10/10/2013,-10.815
10/9/2013,-11.996
10/8/2013,-12.165
10/7/2013,-13.179
10/4/2013,-14.013
10/3/2013,-13.733
10/2/2013,-13.888
10/1/2013,-13.593
9/30/2013,-13.129
9/27/2013,-13.015
9/26/2013,-13.025
9/25/2013,-13.118
9/24/2013,-13.4
9/23/2013,-13.159
9/20/2013,-13.338
9/19/2013,-13.498
9/18/2013,-13.121
9/17/2013,-13.594
9/16/2013,-14.115
9/13/2013,-15.294
9/12/2013,-14.476
9/11/2013,-15.11
9/10/2013,-15.127
9/9/2013,-16.057
9/6/2013,-17.418
9/5/2013,-16.927
9/4/2013,-16.783
9/3/2013,-17.303
9/2/2013,-18.539
